DOI,Composition,Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
12.1039/c5ee02460a,FeCo,1,0,5.5,15,89.2,3.08,0.3,10,364
11.1039/c5ee02460a,FeCo,1,0,6.42,15,80.9,4.54,0.3,10,287
10.3390/ma13071513,Pt,0,1,18.94,5,527,6.26,0.3,10,47
10.3390/ma13071513,Pt,0,1,18.94,5,527,6.26,0.3,20,71
10.3390/ma13071513,Pt,0,1,18.94,5,527,6.26,0.3,40,118
10.3390/ma13071513,Pt,0,1,18.94,5,527,6.26,0.3,50,140
10.3390/ma13071513,Pt,0,1,18.7,4,527,6.98,0.3,10,31
10.3390/ma13071513,Pt,0,1,18.7,4,527,6.98,0.3,20,47
10.3390/ma13071513,Pt,0,1,18.7,4,527,6.98,0.3,40,79
10.3390/ma13071513,Pt,0,1,18.7,4,527,6.98,0.3,50,93
10.3389/fmats.2019.00251,Pt,0,1,3.2,1.6,254,0,0.3,10,38
10.3389/fmats.2019.00251,Pt,0,1,3.2,1.6,254,0,0.3,20,54
10.3389/fmats.2019.00251,Pt,0,1,3.2,1.6,254,0,0.3,40,84
10.3389/fmats.2019.00251,Pt,0,1,7.1,1.5,254,0,0.3,10,24
10.3389/fmats.2019.00251,Pt,0,1,7.1,1.5,254,0,0.3,20,27
10.3389/fmats.2019.00251,Pt,0,1,7.1,1.5,254,0,0.3,40,32
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,100,182
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,80,169
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,60,151
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,50,145
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,40,138
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,20,121
10.1039/d1ta03704h,CoPdO,0,0,47.85,35.1,150.4,1,14,10,100
10.1039/d1ta03704h,CoPdO,0,0,7.21,35.1,239.7,1.4,14,20,368
10.1039/d1ta03704h,CoPdO,0,0,7.21,35.1,239.7,1.4,14,10,312
10.1039/d1ra05577a,RuPd,1,0,17.92,5.9,30.341,0,14,20,57.7
10.1039/d1ra05577a,RuPd,1,0,17.92,5.9,30.341,0,14,10,11.7
10.1039/d1ra05577a,Pd,0,0,16.52,5.9,17.782,0,14,20,400
10.1039/d1ra05577a,Pd,0,0,16.52,5.9,17.782,0,14,10,345
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,7.4,60,358
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,7.4,50,306
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,7.4,40,251
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,100,195
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,80,170
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,100,159
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,60,143
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,7.4,20,136
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,80,132
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,50,127
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,40,112
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,60,102
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,50,87
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,20,75
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,40,69
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,7.4,10,67
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,0.3,10,51
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,20,34
10.1039/d0ta02496a,RuCo,1,0,9.81,10,135.6,0.8,14,10,11
10.1039/d0se01516d,Pt,0,1,1.4,0.36,586.9,12.1,0.3,100,89.1
10.1039/d0se01516d,Pt,0,1,1.4,0.36,586.9,12.1,0.3,10,18.1
10.1039/c9ta07469d,Pt,0,1,1.7,1,490.8,18.8,0.3,10,49.1
10.1039/c9ta07469d,Pt,0,1,1.7,1,490.8,18.8,0.3,20,56
10.1039/c9ta07469d,Pt,0,1,1.7,1,490.8,18.8,0.3,40,64
10.1039/c9ta07469d,Pt,0,1,1.7,1,490.8,18.8,0.3,50,67
10.1039/c9ta07469d,Pt,0,1,1.7,1,490.8,18.8,0.3,100,83
